index,sid,text,polarity,file,label,domain_confidence,domain
1,gr-30-2,فقط بدنه‌اش خش پذیر است,-1,data/main/Apple iPhone 5 - 16GB.xml,0,0.998674750328064,0
10,cr-3-11,شاید در ظاهر فرکانس سی پی یو تگرا ۳ اینفینیتی بالاتر باشه ولی همانند اچ تی سی وان ایکس در عمل از اکسینوس ۴ ضعیف‌تر عمل میکنه.,-1,data/main/Asus Transformer Pad Infinity TF700T 64GB + Dock.xml,0,0.995097354054451,1
4,gr-23-5,ولی یک چیز را در نظر داشته باشید SONY در ضبط تصاویر بی‌نظیر ویدئویی و خلق تصاویر ۳D همیشه ماهرانه و مثال‌زدنی بوده است.,2,data/main/Sony Cyber-Shot DSC-HX200V.xml,1,0.9976991291623563,1
46,rev-47,بدین ترتیب حتی می‌توان گفت که X-Pro۱ می‌تواند جایگزینی بسیار مناسب و کوچک برای دوربین‌های DSLR عکاسان نجومی هم باشد، چرا که کوچک و سبک بودن دوربین برای این نوع عکاسی یک امتیاز مثبت است.,2,data/main/Fujifilm X-Pro1.xml,1,0.997382246889174,1
0,gr-2-1,من این لپ تاپ رو نزدیک یک سال هست که دارم خیلی عالیه از نظر قدرت سخت افزاری که فوق العادست من به بازی‌های سنگین و با گرافیک علاقه دارم که توی این لب تاپ همش جواب میده بدون اندکی کاهش سرعت!,2,data/main/Asus N43SM-C.xml,1,0.9968740940093994,0
3139,-,دوربین دوربین ۵ مگاپیکسلی iSight با لنز F۲٫۴ و سنسور Backside Illuminated این تبلت، کیفیت عالی را ارائه می‌کند.,2,data/extra/Apple iPad mini WiFi-16GB.xml,1,0.9984615467255935,1
0,gr-9-1,من خریدم و یک هفته بعد یه خط افتاد روی صفحه که بردم گارانتی شرکت هماهنگ، گفتند بردش اشکال داره الان تقریبا بیشتر از سه هفته است که تبلت من رو گرفتند و هنوز جواب درست هم نمی‌دهند.,-1,data/main/Asus Transformer Pad Infinity TF700T 64GB + Dock.xml,0,0.9977018237113953,0
11,rev-12,این دو دوربین توانایی فیلم برداری با رزولوشن HD را نیز دارند که عالیست.,2,data/main/Samsung ST68.xml,1,0.9991344166337512,1
6,rev-7,پهنای این گوشی کاملا در تضاد با اعتقاد اپل مبنی بر سایز ۳٫۵ الی ۴ اینچ استاندارد صفحه نمایش برای کار با یک دست است.,-1,data/main/LG Optimus Vu P895.xml,0,0.9987467641476542,1
10263,-,اولین تغییر ایجاد شده را می‌توان اضافه کردن بخش تنظیمات به منوی Notifications دانست.,1,data/extra/LG Nexus 4 E960 - 16GB.xml,1,0.9974202641751617,1
724,-,نهایتا بر روی قاب پشتی گوشی نیز، دوربین ۸ مگاپیکسلی به همراه فلاش LED قرار دارند که به همراه یک لوگوی HTC و لوگوی Beats، زیبایی خاصی را به قاب پشتی بخشیده‌اند.,1,data/extra/HTC Butterfly.xml,1,0.9991087319212966,1
5019,-,اینجوری بهتر بود.,1,data/extra/LG Optimus L7 II Dual P715.xml,1,0.9975264668464661,0
89,rev-90,پیشرفت بعدی iOS ۶ در مورد برنامه Siri است که با معرفی در iPhone ۴S شگفتی همگان را برانگیخت و حالا با بهبود آن، کاربرد‌های بیشتری نیز پیدا نموده است.,1,data/main/Apple iPhone 5 - 16GB.xml,1,0.9987552064703777,1
10,gr-14-11,کلا ازش خیلی راضیم.,2,data/main/LG Optimus Vu P895.xml,1,0.998731791973114,0
8607,-,نسبت به قیمتش گوشی خیلی خوبیه، سرعت خیلی خوب تاچ عالی داره جی پی اسش هم خیلی خوب و کارآمده تنها ضعفش دوربینشه که لنزش ثابته و عکس هاش کیفیت خوبی نداره باطریش هم خوبه سبک و خوش دسته در کل ارزش خریدش رو از ۱۰ من ۸ میدم (۲نمره رو هم به خاطر دوربینش ازش کم میکنم),1,data/extra/Nokia 500.xml,1,0.9994986057281494,0
10358,-,به هر صورت همان‌طور که گفتیم، Nikon Coolpix P۵۱۰ تا به این تاریخ سوپر زوم‌ترین دوربین رده‌ی خود می‌باشد.,2,data/extra/Nikon Coolpix P510.xml,1,0.9989602011628449,1
7482,-,جواب دادن به سوال نخست کمی سخت‌تر است.,-1,data/extra/Apple iPhone 4S-32GB.xml,0,0.993712202180177,1
2239,-,عالیه اگه الان ساعت ۱۲ شب نبود خریدشو نمینداختم فردا.,2,data/extra/Asus U57A.xml,1,0.9959218502044678,0
39,rev-40,باز کردن قفل صفحه نمایش به زیبایی هر چه تمام‌تر و با کشیدن انگشت از وسط یک دایره به طرفین صورت می‌پذیرد که کاملا منحصر به ال جی است.,1,data/main/LG Optimus Vu P895.xml,1,0.997903737006709,1
8527,-,در ضمن، این صفحه نمایش قابلیت دریافت دو لمس همزمان را نیز داراست که شاید در حین انجام بازی با این گوشی، اینکه فقط دو لمس همزمان درک می‌گردند مقداری کاربر را برنجاند.,1,data/extra/Sony Xperia E Dual.xml,1,0.9988274645293131,1
4,gr-13-5,خیلی راحت فوکوس خودکار عمل میکنه.,2,data/main/Sony Cyber-Shot DSC-HX200V.xml,1,0.9961775541305542,0
3366,-,این پردازنده‌ها بسیار ضعیف‌تر از پردازنده‌های Intel Core هستند ولی در عوض مدل‌های مبتنی بر این پردازنده‌ها، بسیار ارزان‌تر بوده و مصرف انرژی کمتری نیز دارند.,1,data/extra/Asus X43SD_Hosseini.xml,1,0.9988486393122002,1
4,gr-5-5,اگه قصد خرید دارید خیالتونو راحت کنم.,1,data/main/Samsung I9082 Galaxy Grand Duos.xml,1,0.995771586894989,0
11672,-,خوشبختانه کانن توانسته که بیشتر دکمه‌ها و کنترل‌های دیگر دوربین‌های سری Rebel را بر روی این یکی نیز حفظ کند.,1,data/extra/Canon EOS 100D.xml,1,0.9987381754908711,1
8880,-,شاید تنها نقطه ضعف فیلم‌برداری این گوشی، سیستم فوکوس ممتد (Continuous Focus) آن باشد که کمی با تاخیر عمل می‌کند ولی در مجموع می‌توانیم بگوییم که در مقایسه با دوربین گوشی‌های رده بالای دیگر، دوربین Xperia TX بسیار خوب و رضایت بخش عمل می‌کند.,1,data/extra/Sony Xperia TX.xml,1,0.9983036355115473,1
8339,-,فلاش Pgr-up نیز بسیار قدرتمند است و می‌تواند برد تا ۷ متر را پوشش دهد.,2,data/extra/Fujifilm FinePix SL260.xml,1,0.9983807420358062,1
12248,-,در نهایت، باید بگوییم که Xperia V تقریبا همان Xperia T است که قابلیت مقاومت در برابر نفوذ مایعات و همچنین پشتیبانی از اینترنت پر سرعت ۴G نیز به آن افزوده شده است.,1,data/extra/Sony Xperia V.xml,1,0.9988516892772168,1
42,rev-43,رزولوشن تصاویر ۲۴۴۸×۳۲۶۴ پیکسل می‌باشد و تصاویر گرفته شده با دوربین این گوشی کیفیت فوق‌العاده بالایی دارند.,2,data/main/Samsung I9082 Galaxy Grand Duos.xml,1,0.9989971317118034,1
0,gr-17-1,با سلام من ۲ روزه خریدم خیلی عالیه,2,data/main/Samsung Galaxy Tab 2 7.0 P3100 - 16GB.xml,1,0.9994538426399231,0
12288,-,به نظر حافظه‌ی زیادی می‌آید ولی از آن جایی که دوربین این گوشی توانایی ضبط ویدیویی ۷۲۰p HD دارد احتمالا زودتر از انتظار پر خواهد شد.,1,data/extra/Apple iPhone 4 - 8GB.xml,1,0.998526741983369,1
5217,-,توی سایت رایتل هم تو لیست نیست.,-1,data/extra/LG Optimus L7 II Dual P715.xml,0,0.9964942336082458,0
